"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.125453542E0,1.137634277E-1,3.043171692E-1,9.782307587E0
2.135466542E0,1.088237000E-1,3.010240173E-1,9.774972839E0
2.145480542E0,1.094224548E-1,2.981799316E-1,9.789342957E0
2.155493542E0,1.056802368E-1,2.959346008E-1,9.782457275E0
2.165507542E0,1.172062683E-1,3.061134338E-1,9.770182800E0
2.175520542E0,9.400451660E-2,3.007246399E-1,9.768835602E0
2.185533542E0,1.028361511E-1,2.953358459E-1,9.763446808E0
2.195547542E0,1.104702759E-1,2.917433167E-1,9.777367859E0
2.205560542E0,1.094224548E-1,2.930905151E-1,9.777068481E0
2.215573542E0,1.101708984E-1,2.960842896E-1,9.786947937E0
2.225587542E0,1.050814819E-1,2.869532776E-1,9.785001984E0
2.235600542E0,1.101708984E-1,2.856060791E-1,9.786199493E0
2.245613542E0,1.083746338E-1,2.950364685E-1,9.753866730E0
2.255627542E0,1.074765015E-1,3.002755737E-1,9.768536224E0
2.265640542E0,1.082249451E-1,2.992277527E-1,9.776170349E0
2.275653542E0,1.155596924E-1,2.936892700E-1,9.776619415E0
2.285667542E0,1.080752563E-1,2.809657288E-1,9.783205719E0
2.295680542E0,1.101708984E-1,3.035687256E-1,9.780062256E0
2.305693542E0,1.194515991E-1,3.065625000E-1,9.776020660E0
2.315707542E0,1.234931946E-1,2.941383362E-1,9.783056030E0
2.325720542E0,1.133143616E-1,3.055146790E-1,9.782307587E0
2.335733542E0,1.157093811E-1,2.917433167E-1,9.777517548E0
2.345747542E0,1.082249451E-1,2.966830444E-1,9.782606964E0
2.355760542E0,1.010398865E-1,3.050656128E-1,9.773925018E0
2.365773542E0,1.037342834E-1,3.005749512E-1,9.772278442E0
2.375787542E0,1.044827271E-1,2.915936279E-1,9.774523773E0
2.385800542E0,1.203497314E-1,2.977308655E-1,9.777667236E0
2.395814542E0,1.107696533E-1,2.878514099E-1,9.770781555E0
2.405827542E0,1.026864624E-1,2.909948730E-1,9.778415680E0
2.415840542E0,1.140628052E-1,3.052153015E-1,9.781110077E0
2.425854542E0,1.106199646E-1,2.839595032E-1,9.774374084E0
2.435867542E0,1.053808594E-1,2.966830444E-1,9.787247314E0
2.445880542E0,1.074765015E-1,2.884501648E-1,9.777218170E0
2.455894542E0,1.127156067E-1,3.022215271E-1,9.777218170E0
2.465907542E0,1.216969299E-1,3.032693481E-1,9.771529999E0
2.475920542E0,1.074765015E-1,2.900967407E-1,9.772278442E0
2.485934542E0,1.204994202E-1,3.001258850E-1,9.773775330E0
2.495947542E0,1.182540894E-1,3.017724609E-1,9.775721283E0
2.505960542E0,1.074765015E-1,2.896476746E-1,9.773026886E0
2.515974542E0,1.086740112E-1,3.053649902E-1,9.780960388E0
2.525987542E0,1.070274353E-1,3.044668579E-1,9.772727509E0
2.536000542E0,1.035845947E-1,2.989283752E-1,9.783505096E0
2.546014542E0,1.194515991E-1,3.005749512E-1,9.766440582E0
2.556027542E0,1.067280579E-1,2.987786865E-1,9.779463501E0
2.566041542E0,1.118174744E-1,2.989283752E-1,9.768835602E0
2.576054542E0,1.122665405E-1,2.992277527E-1,9.773176575E0
2.586067542E0,1.118174744E-1,2.897973633E-1,9.776020660E0
2.596081542E0,1.115180969E-1,2.924917603E-1,9.785600739E0
2.606094542E0,1.061293030E-1,2.927911377E-1,9.781858521E0
2.616107542E0,1.053808594E-1,2.986289978E-1,9.779912567E0
2.626121542E0,1.088237000E-1,2.999761963E-1,9.776918793E0
2.636134542E0,1.282832336E-1,3.047662354E-1,9.768087158E0
2.646147542E0,1.145118713E-1,2.972817993E-1,9.774523773E0
2.656161542E0,1.119671631E-1,2.924917603E-1,9.770182800E0
2.666174542E0,1.067280579E-1,2.918930054E-1,9.780960388E0
2.676187542E0,1.098715210E-1,3.110531616E-1,9.781708832E0
2.686201542E0,1.064286804E-1,2.983296204E-1,9.784103851E0
2.696214542E0,1.152603149E-1,2.980302429E-1,9.763297119E0
2.706227542E0,9.909393311E-2,3.031196594E-1,9.769584045E0
2.716241542E0,1.082249451E-1,2.897973633E-1,9.770482178E0
2.726254542E0,1.092727661E-1,2.905458069E-1,9.771230621E0
2.736267542E0,1.004411316E-1,2.972817993E-1,9.768685913E0
2.746281542E0,1.065783691E-1,2.909948730E-1,9.774374084E0
2.756294542E0,1.173559570E-1,2.953358459E-1,9.770781555E0
2.766308542E0,1.154100037E-1,3.001258850E-1,9.770482178E0
2.776321542E0,1.088237000E-1,3.067121887E-1,9.760303345E0
2.786334542E0,1.184037781E-1,3.008743286E-1,9.769434357E0
2.796348542E0,1.022373962E-1,3.038681030E-1,9.790091400E0
2.806361542E0,1.119671631E-1,2.947370911E-1,9.771979065E0
2.816374542E0,1.064286804E-1,3.007246399E-1,9.770631866E0
2.826388542E0,1.100212097E-1,3.038681030E-1,9.775721283E0
2.836401542E0,1.216969299E-1,3.029699707E-1,9.784552917E0
2.846414542E0,1.116677856E-1,3.004252625E-1,9.777667236E0
2.856428542E0,1.116677856E-1,3.074606323E-1,9.766290894E0
2.866441542E0,1.076261902E-1,3.029699707E-1,9.778715057E0
2.876454292E0,1.216969299E-1,2.999761963E-1,9.776320038E0
2.886468292E0,1.089733887E-1,2.995271301E-1,9.778116302E0
2.896481292E0,1.046324158E-1,3.026705933E-1,9.779762878E0
2.906494292E0,1.124162292E-1,3.138972473E-1,9.776320038E0
2.916508292E0,1.034349060E-1,2.911445618E-1,9.771080933E0
2.926521292E0,1.019380188E-1,3.059637451E-1,9.773775330E0
2.936535292E0,1.077758789E-1,3.115022278E-1,9.775272217E0
2.946548292E0,1.071771240E-1,2.932402039E-1,9.765243073E0
2.956561292E0,1.106199646E-1,2.915936279E-1,9.777517548E0
2.966575292E0,1.026864624E-1,3.070115662E-1,9.769584045E0
2.976588292E0,1.026864624E-1,2.987786865E-1,9.769584045E0
2.986601292E0,1.031355286E-1,2.930905151E-1,9.761650543E0
2.996615292E0,1.140628052E-1,3.019221497E-1,9.782756653E0
3.006628292E0,1.032852173E-1,2.911445618E-1,9.767338715E0
3.016641292E0,1.032852173E-1,2.963836670E-1,9.765841827E0
3.026655292E0,1.041833496E-1,3.059637451E-1,9.789043579E0
3.036668292E0,1.101708984E-1,2.930905151E-1,9.778715057E0
3.046681292E0,1.010398865E-1,3.014730835E-1,9.767787781E0
3.056695292E0,1.125659180E-1,2.948867798E-1,9.773475952E0
3.066708292E0,1.091230774E-1,2.897973633E-1,9.776020660E0
3.076721292E0,1.134640503E-1,2.894979858E-1,9.762698364E0
3.086735292E0,1.121168518E-1,3.019221497E-1,9.768236847E0
3.096748292E0,1.095721436E-1,3.035687256E-1,9.767488403E0
3.106761292E0,1.101708984E-1,3.019221497E-1,9.777816925E0
3.116775292E0,1.052311707E-1,3.028202820E-1,9.784702606E0
3.126788292E0,9.714797974E-2,2.980302429E-1,9.774823151E0
