"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.006545542E0,-5.561518483E-4,2.233686391E-4,4.666822497E-4
2.016558542E0,1.451339107E-3,3.192424774E-4,-4.409230314E-4
2.026572542E0,-3.305817954E-4,-1.231087372E-4,3.761346452E-4
2.036585542E0,-6.646378897E-4,-1.113520935E-3,5.577972624E-4
2.046598542E0,-1.135015860E-3,-1.302198740E-3,3.995988518E-4
2.056612542E0,5.659451708E-4,-1.868120627E-3,-1.449966338E-3
2.066625542E0,2.740621567E-4,8.204812184E-5,6.440456491E-4
2.076638542E0,9.899199940E-4,5.331875291E-4,-9.522531182E-4
2.086652542E0,2.789278515E-4,-1.240045298E-3,1.844719518E-4
2.096665542E0,-7.032463327E-4,-1.870309934E-4,-4.355120473E-4
2.106678542E0,-3.887694329E-4,6.541635375E-4,4.435544834E-4
2.116692542E0,-1.919618808E-4,3.750640899E-4,8.926726878E-6
2.126705542E0,1.033121254E-3,-1.522810198E-3,4.833517596E-5
2.136718542E0,-4.689018242E-4,1.826914027E-3,-5.902908742E-4
2.146732542E0,1.479014754E-4,-7.273883093E-4,-8.414047770E-4
2.156745542E0,-1.097925473E-3,3.461318556E-4,1.229257323E-4
2.166759542E0,6.233556196E-4,-4.646657035E-4,1.443392830E-3
2.176772542E0,-7.066410035E-5,9.595928714E-4,-1.402727328E-3
2.186785542E0,-2.408917062E-4,-2.089755842E-3,-3.390437923E-4
2.196799542E0,-5.460898392E-4,1.156076323E-4,1.060180832E-3
2.206812542E0,5.433717743E-4,-5.607050844E-5,-2.220840659E-3
2.216825542E0,-3.152312711E-4,-3.231854644E-4,-3.643510863E-4
2.226839542E0,6.488151848E-5,1.152780838E-3,-1.171869226E-4
2.236852542E0,1.150119584E-3,5.620918237E-4,2.905428410E-4
2.246865542E0,-6.639156491E-4,-5.122767761E-4,-6.382926367E-4
2.256879542E0,1.411582343E-4,-3.668684512E-4,2.246443648E-3
2.266892542E0,-1.318388619E-3,-1.122723334E-4,-7.547480054E-4
2.276905542E0,-1.609791070E-4,6.334127393E-4,6.378190592E-4
2.286919542E0,-1.205340959E-4,9.353607893E-4,-2.346402500E-3
2.296932542E0,5.306089297E-4,-1.035111956E-3,-4.129474983E-4
2.306945542E0,-1.477940707E-3,3.785197623E-5,-2.031478100E-3
2.316959542E0,7.343469188E-4,-4.684152082E-4,-5.020247772E-4
2.326972542E0,1.089530997E-3,1.045786077E-3,-2.040002029E-3
2.336985542E0,-5.224808119E-4,5.091591738E-4,4.247534089E-4
2.346999542E0,8.569220081E-4,-7.828744128E-5,2.254277933E-4
2.357012542E0,3.570467234E-4,1.201627776E-3,-1.167938113E-3
2.367025542E0,1.190131996E-3,-7.505055983E-4,-6.752191111E-4
2.377039542E0,-2.959119156E-4,2.202165779E-4,1.675819512E-3
2.387052542E0,6.942176260E-4,9.985337965E-5,-1.454297453E-4
2.397066542E0,2.436107025E-4,1.017578645E-3,2.495173831E-4
2.407079542E0,1.085712574E-3,-6.769478787E-4,-1.350287814E-3
2.417092542E0,2.348325215E-4,-5.304741208E-4,3.748573363E-5
2.427106542E0,4.066177644E-4,-3.806082532E-5,-6.225937977E-4
2.437119542E0,5.546025932E-6,-1.123298658E-3,-7.933024317E-4
2.447132542E0,3.717006184E-4,9.431038052E-5,-9.114099666E-4
2.457146542E0,-8.636293933E-5,-2.785322722E-4,-7.604085840E-4
2.467159542E0,-2.680039033E-4,1.654240768E-4,6.143655628E-4
2.477172542E0,-1.119948924E-3,1.054920023E-3,-6.072265096E-4
2.487186542E0,3.154757433E-4,-1.007486368E-3,5.793492310E-4
2.497199542E0,-1.774751581E-4,-2.708563115E-4,-6.720703095E-4
2.507212542E0,1.476533245E-3,7.405048236E-4,-4.946026020E-4
2.517226542E0,-8.774348535E-4,3.735213540E-4,1.733664190E-3
2.527239542E0,5.430602469E-4,-2.688122913E-5,-2.092211507E-4
2.537252542E0,3.901948221E-4,-9.416770190E-4,-7.011066191E-4
2.547266542E0,4.341150634E-4,2.958003897E-4,8.787710685E-4
2.557279542E0,3.523561172E-4,6.236357149E-4,-6.014136598E-4
2.567293542E0,-1.439056359E-4,-3.678181674E-4,-1.106685959E-3
2.577306542E0,1.932508312E-4,3.706763964E-4,-5.900328979E-4
2.587319542E0,7.510045543E-5,5.810717121E-4,6.309803575E-5
2.597333542E0,1.752891578E-3,-5.699463654E-4,-6.911088713E-4
2.607346542E0,7.509840652E-4,-2.863637637E-3,3.492073156E-4
2.617359542E0,-4.282635637E-4,-5.128653720E-4,9.502829053E-4
2.627373542E0,-1.224679872E-4,-7.188292220E-4,1.009925734E-3
2.637386542E0,2.439832315E-4,-4.117670469E-4,-5.783834495E-4
2.647399542E0,-8.897529915E-4,2.045868896E-4,-1.498092897E-3
2.657413542E0,5.507506430E-4,-1.389610115E-4,5.272410344E-4
2.667426542E0,1.015801448E-3,-1.151325414E-3,-2.372133546E-3
2.677439542E0,-1.130972523E-3,3.031897359E-5,7.549501024E-4
2.687453542E0,1.074542757E-3,7.636100054E-4,-1.044811681E-3
2.697466542E0,-5.543651059E-5,8.733321447E-4,7.903724909E-4
2.707479542E0,-4.244223237E-4,-8.502700366E-4,3.107620869E-4
2.717493542E0,1.947623678E-4,2.328373957E-4,-7.864604704E-4
2.727506542E0,1.091416925E-4,-5.486735608E-4,1.814836403E-3
2.737519542E0,2.066129819E-4,-3.867805935E-5,4.206716549E-4
2.747533542E0,7.746675983E-4,5.706900265E-4,-3.735003993E-4
2.757546542E0,-4.458590411E-4,-8.844234981E-5,6.116027944E-4
2.767560542E0,4.174467176E-4,-5.362322554E-5,7.443483919E-4
2.777573542E0,7.753754035E-4,-1.368692145E-3,-3.515426069E-4
2.787586542E0,-7.040812634E-4,1.303986879E-3,7.649359759E-4
2.797600542E0,-1.064673066E-3,-4.809978418E-5,-9.413515218E-4
2.807613542E0,5.348320119E-4,-1.838342287E-4,1.766544301E-4
2.817626542E0,3.963476047E-4,1.213639043E-4,2.645386849E-4
2.827640542E0,-9.837374091E-4,6.755264476E-4,4.197335802E-4
2.837653542E0,5.393247120E-4,9.500982706E-4,-1.035950147E-3
2.847666542E0,-3.544311039E-4,-1.754891127E-4,-4.497291520E-4
2.857680542E0,-9.530549869E-5,-3.459313884E-4,4.429623950E-4
2.867693542E0,2.975282259E-4,1.943772659E-4,-1.723566093E-4
2.877706292E0,4.293546081E-4,-5.901900586E-4,-1.659649424E-4
2.887720292E0,4.144012928E-4,-6.735795178E-4,4.638258833E-4
2.897733292E0,-3.011897206E-4,1.028180355E-3,-7.396563888E-4
2.907746292E0,2.571828663E-4,-3.107804805E-4,-1.496518962E-4
2.917760292E0,-2.990569919E-5,3.257149365E-4,7.395774592E-4
2.927773292E0,-1.589064486E-4,2.787760459E-4,-3.561959602E-4
2.937787292E0,5.215308629E-4,2.449539024E-4,5.423547700E-4
2.947800292E0,-1.480304636E-4,9.814903606E-4,-2.057906240E-4
2.957813292E0,3.342679702E-4,-7.341178134E-4,-1.108069904E-3
